Home Team,Away Team,Link,Season,Round,League
Stuttgart,B. Dortmund,https://www.besoccer.com/match/stuttgart/borussia-dortmund/202215795,2022,29,bundesliga
Greuther Fürth,B. Mönchengladbach,https://www.besoccer.com/match/greuther-furth/borussia-monchengla/202215798,2022,29,bundesliga
Köln,Mainz 05,https://www.besoccer.com/match/1-fc-koln/mainz-amat/202215801,2022,29,bundesliga
Bayern München,FC Augsburg,https://www.besoccer.com/match/bayern-munchen/fc-augsburg/202215802,2022,29,bundesliga
Wolfsburg,Arminia Bielefeld,https://www.besoccer.com/match/wolfsburg/arminia-bielefeld/202215803,2022,29,bundesliga
Hertha BSC,Union Berlin,https://www.besoccer.com/match/hertha-bsc/1-fc-union-berlin/202215797,2022,29,bundesliga
VfL Bochum,B. Leverkusen,https://www.besoccer.com/match/bochum/bayer-leverkusen/202215796,2022,29,bundesliga
Eintracht Frankfurt,SC Freiburg,https://www.besoccer.com/match/eintracht-frankfurt/sc-freiburg/202215799,2022,29,bundesliga
RB Leipzig,Hoffenheim,https://www.besoccer.com/match/rb-leipzig/tsg-1899-hoffenheim/202215800,2022,29,bundesliga
Jahn Regensburg,Ingolstadt 04,https://www.besoccer.com/match/ssv-jahn-regensburg/fc-ingolstadt-04/202216498,2022,29,2_liga
Fortuna Düsseldorf,Hansa Rostock,https://www.besoccer.com/match/fortuna-dusseldorf/hansa-rostock/202216497,2022,29,2_liga
FC St. Pauli,Werder Bremen,https://www.besoccer.com/match/st-pauli/werder-bremen/202216490,2022,29,2_liga
Schalke 04,Heidenheim,https://www.besoccer.com/match/schalke-04/heidenheim/202216494,2022,29,2_liga
Erzgebirge Aue,Hannover 96,https://www.besoccer.com/match/fc-erzgebirge-aue/hannover-96/202216495,2022,29,2_liga
Nürnberg,Darmstadt 98,https://www.besoccer.com/match/fc-nurnberg/darmstadt-98/202216493,2022,29,2_liga
Holstein Kiel,Hamburger SV,https://www.besoccer.com/match/holstein-kiel/hamburger-sv/202216491,2022,29,2_liga
Paderborn,Karlsruher SC,https://www.besoccer.com/match/paderborn/karlsruher-sc/202216492,2022,29,2_liga
Sandhausen,Dynamo Dresden,https://www.besoccer.com/match/sv-sandhausen/sg-dynamo-dresden/202216496,2022,29,2_liga
0,Hull City,Huddersfield Town,https://www.besoccer.com/match/hull-city/huddersfield-town-fc/202213336,2022,40,championship
1,Blackpool,Nottingham Forest,https://www.besoccer.com/match/blackpool-fc/nottingham-forest-fc/202213332,2022,40,championship
2,AFC Bournemouth,Bristol City,https://www.besoccer.com/match/afc-bournemouth/bristol-city-fc/202213329,2022,40,championship
3,Barnsley,Reading,https://www.besoccer.com/match/barnsley-fc/reading-fc/202213330,2022,40,championship
4,Cardiff City,Swansea City,https://www.besoccer.com/match/cardiff-city-fc/swansea-city-afc/202213333,2022,40,championship
5,Coventry City,Blackburn Rovers,https://www.besoccer.com/match/coventry-city/blackburn-rovers-fc/202213334,2022,40,championship
6,Derby County,Preston North End,https://www.besoccer.com/match/derby-county-fc/preston-north-end/202213335,2022,40,championship
7,Luton Town,Millwall,https://www.besoccer.com/match/luton-town-fc/millwall-fc/202213337,2022,40,championship
8,Peterborough United,Middlesbrough,https://www.besoccer.com/match/peterborough-u/middlesbrough-fc/202213338,2022,40,championship
9,Queens Park Rangers,Fulham,https://www.besoccer.com/match/queens-park-rangers-fc/fulham/202213339,2022,40,championship
10,Stoke City,Sheffield United,https://www.besoccer.com/match/stoke-city/sheffield-united/202213340,2022,40,championship
11,Birmingham City,West Bromwich Albion,https://www.besoccer.com/match/birmingham-city-fc/west-bromwich/202213331,2022,40,championship
1,Almere City,Excelsior,https://www.besoccer.com/match/almere-city/excelsior/20222952,2022,33,eerste_divisie
2,NAC Breda,Jong Ajax,https://www.besoccer.com/match/nac-breda/jong-ajax/20222953,2022,33,eerste_divisie
3,De Graafschap,Emmen,https://www.besoccer.com/match/graafschap/emmen/20222954,2022,33,eerste_divisie
4,Dordrecht,FC Eindhoven,https://www.besoccer.com/match/fc-dordrecht/fc-eindhoven/20222955,2022,33,eerste_divisie
5,FC Volendam,TOP Oss,https://www.besoccer.com/match/fc-volendam/fc-oss/20222956,2022,33,eerste_divisie
6,Helmond Sport,MVV Maastricht,https://www.besoccer.com/match/helmond-sport/mvv/20222957,2022,33,eerste_divisie
7,Jong AZ,Jong PSV,https://www.besoccer.com/match/az-alkmaar-sub23/jong-psv/20222958,2022,33,eerste_divisie
8,Roda JC,Jong Utrecht,https://www.besoccer.com/match/roda-jc/jong-utrecht/20222959,2022,33,eerste_divisie
9,SC Telstar,Den Bosch,https://www.besoccer.com/match/stormvogels-telstar/fc-den-bosch/20222960,2022,33,eerste_divisie
10,VVV Venlo,ADO Den Haag,https://www.besoccer.com/match/vvv/ado-den-haag/20222961,2022,33,eerste_divisie
Go Ahead Eagles,Willem II,https://www.besoccer.com/match/go-ahead-eagles/willem-ii/20222580,2022,29,eredivisie
Utrecht,Fortuna Sittard,https://www.besoccer.com/match/fc-utrecht/fortuna-sittard/20222579,2022,29,eredivisie
Ajax,Sparta Rotterdam,https://www.besoccer.com/match/ajax/sparta-rotterdam/20222578,2022,29,eredivisie
NEC Nijmegen,Twente,https://www.besoccer.com/match/nec/fc-twente-1965/20222582,2022,29,eredivisie
Heerenveen,Groningen,https://www.besoccer.com/match/heerenveen/fc-groningen/20222585,2022,29,eredivisie
PSV,RKC Waalwijk,https://www.besoccer.com/match/psv/rkc-waalwijk/20222584,2022,29,eredivisie
Vitesse,Cambuur,https://www.besoccer.com/match/vitesse/sc-cambuur-leeuwarden/20222586,2022,29,eredivisie
Heracles,Feyenoord,https://www.besoccer.com/match/heracles/feyenoord/20222581,2022,29,eredivisie
PEC Zwolle,AZ Alkmaar,https://www.besoccer.com/match/fc-zwolle/az/20222583,2022,29,eredivisie
Lorient,Saint-Étienne,https://www.besoccer.com/match/lorient/saint-etienne/202216062,2022,31,ligue_1
Stade de Reims,Stade Rennais,https://www.besoccer.com/match/stade-reims/stade-rennes/202216071,2022,31,ligue_1
Clermont,PSG,https://www.besoccer.com/match/clermont-foot/paris-saint-germain-fc/202216057,2022,31,ligue_1
Girondins Bordeaux,Metz,https://www.besoccer.com/match/bordeaux/metz/202216050,2022,31,ligue_1
Angers SCO,Lille,https://www.besoccer.com/match/angers-sco/lillestrom/202216049,2022,31,ligue_1
Stade Brestois,Nantes,https://www.besoccer.com/match/stade-brestois-29/nantes/202216053,2022,31,ligue_1
Monaco,Troyes,https://www.besoccer.com/match/monaco/troyes/202216068,2022,31,ligue_1
Lens,Nice,https://www.besoccer.com/match/lens/nice/202216060,2022,31,ligue_1
Strasbourg,Olympique Lyonnais,https://www.besoccer.com/match/strasbourg/olympique-lyonnais/202216075,2022,31,ligue_1
Olympique Marseille,Montpellier,https://www.besoccer.com/match/olympique-marsella/montpellier-hsc/202216065,2022,31,ligue_1
Guingamp,Toulouse,https://www.besoccer.com/match/guingamp/toulouse-fc/202217078,2022,32,ligue_2
Ajaccio,Pau FC,https://www.besoccer.com/match/ajaccio/pau/202217074,2022,32,ligue_2
Amiens SC,Bastia,https://www.besoccer.com/match/amiens-sc/bastia/202217075,2022,32,ligue_2
Auxerre,Valenciennes,https://www.besoccer.com/match/auxerre/valenciennes-afc/202217076,2022,32,ligue_2
Grenoble,Caen,https://www.besoccer.com/match/grenoble-foot-38/caen/202217077,2022,32,ligue_2
Le Havre,Dunkerque,https://www.besoccer.com/match/havre-ac/dunkerque/202217079,2022,32,ligue_2
Niort,Nîmes,https://www.besoccer.com/match/chamois-niortais/nimes-olympique/202217080,2022,32,ligue_2
Quevilly-Rouen,Rodez,https://www.besoccer.com/match/quevilly/rodez/202217082,2022,32,ligue_2
Sochaux,Nancy,https://www.besoccer.com/match/sochaux/nancy/202217083,2022,32,ligue_2
Paris FC,Dijon FCO,https://www.besoccer.com/match/paris-sg/dijon-fco/202217081,2022,32,ligue_2
Norwich City,Chelsea,https://www.besoccer.com/match/norwich-city-fc/chelsea-fc/20225642,2022,30,premier_league
Wolves,Leeds United,https://www.besoccer.com/match/wolverhampton/leeds-united-afc/20225645,2022,30,premier_league
Aston Villa,Arsenal,https://www.besoccer.com/match/aston-villa-fc/arsenal/20225636,2022,30,premier_league
Leicester,Brentford,https://www.besoccer.com/match/leicester-city-fc/brentford/20225638,2022,30,premier_league
Tottenham Hotspur,West Ham,https://www.besoccer.com/match/tottenham-hotspur-fc/west-ham-united/20225643,2022,30,premier_league
Liverpool,Man. Utd,https://www.besoccer.com/match/liverpool/manchester-united-fc/20225639,2022,30,premier_league
Newcastle,Crystal Palace,https://www.besoccer.com/match/newcastle-united-fc/crystal-palace-fc/20225641,2022,30,premier_league
Man. City,Brighton & Hove Albion,https://www.besoccer.com/match/manchester-city-fc/brighton-amp-hov/20225640,2022,30,premier_league
Burnley,Southampton,https://www.besoccer.com/match/burnley-fc/southampton-fc/20225637,2022,30,premier_league
Watford,Everton,https://www.besoccer.com/match/watford-fc/everton-fc/20225644,2022,30,premier_league
